backend,execution_path,concurrency,completed,num_prompts,total_input_tokens,total_output_tokens,tokens_ok,output_tok_s,output_tok_s_per_gpu,mean_ttft_ms,mean_tpot_ms
auto,flashinfer_trtllm_w8a8,1,10,10,10000,10000,true,106.753548,26.688387,214.758553,9.161604
auto,flashinfer_trtllm_w8a8,8,80,80,80000,80000,true,540.349341,135.087335,438.142597,14.380729
auto,flashinfer_trtllm_w8a8,32,320,320,320000,320000,true,1318.463009,329.615752,757.978859,23.533123
flashinfer_trtllm,native_mxfp8_w8a8,1,10,10,10000,10000,true,107.093454,26.773364,220.024935,9.126568
flashinfer_trtllm,native_mxfp8_w8a8,8,80,80,80000,80000,true,540.520991,135.130248,438.365033,14.375792
flashinfer_trtllm,native_mxfp8_w8a8,32,320,320,320000,320000,true,1311.004651,327.751163,751.967992,23.677404
humming,mxfp8_weight_unquantized_activation,1,10,10,10000,10000,true,88.640951,22.160238,213.570488,11.078842
humming,mxfp8_weight_unquantized_activation,8,80,80,80000,80000,true,387.056468,96.764117,700.099210,19.987818
humming,mxfp8_weight_unquantized_activation,32,320,320,320000,320000,true,1003.122439,250.780610,1921.558397,30.005128
marlin,w8a16_fallback,1,10,10,10000,10000,true,87.744338,21.936085,240.852922,11.166878
marlin,w8a16_fallback,8,80,80,80000,80000,true,450.102401,112.525600,764.916898,17.024993
marlin,w8a16_fallback,32,320,320,320000,320000,true,1083.409047,270.852262,1847.799165,27.712616
